"code_ogr","libelle_appellation_long","libelle_appellation_court","code_rome","transition_eco","transition_num","transition_demo","emploi_reglemente","emploi_cadre","classification","origine","code_rome_parent","peu_usite"
"12590","Chef opérateur / Cheffe opératrice photographe","Chef opérateur / Cheffe opératrice photographe","E1208","Emploi Blanc","","","","","SYNONYME","","E1201","N"
"12591","Chef opérateur / Cheffe opératrice vidéo","Chef opérateur / Cheffe opératrice vidéo","L1514","Emploi Blanc","O","","","O","SYNONYME","","L1505","N"
"12592","Chef pâtissier / Cheffe pâtissière","Chef pâtissier / Cheffe pâtissière","D1117","Emploi Blanc","","","","","PRINCIPALE","","D1104","N"
"12593","Chef pâtissier / Cheffe pâtissière de restaurant","Chef pâtissier / Cheffe pâtissière de restaurant","G1610","Emploi Blanc","","","","","SYNONYME","","G1602","N"
"12594","Chef perruquier maquilleur / Cheffe perruquière maquilleuse spectacle","Chef(fe) perruquier(ère) maquilleur(se) spectacle","L1517","Emploi Blanc","","","","","SYNONYME","","L1501","O"
"12595","Chef perruquier / Cheffe perruquière spectacle","Chef perruquier / Cheffe perruquière spectacle","L1517","Emploi Blanc","","","","","SYNONYME","","L1501","N"
"12596","Chef / Cheffe Personnel Navigant Technique -PNT-","Chef / Cheffe Personnel Navigant Technique -PNT-","N2102","Emploi Brun","","","","","SYNONYME","","N2102","N"
"12597","Chef / Cheffe pilote aéronautique","Chef / Cheffe pilote aéronautique","N2102","Emploi Brun","","","","","SYNONYME","","N2102","N"
"12598","Chef porion / Cheffe porionne","Chef porion / Cheffe porionne","F1203","Emploi Brun","","","","","SYNONYME","","F1203","N"
"12599","Chef posticheur / Cheffe posticheuse spectacle","Chef posticheur / Cheffe posticheuse spectacle","L1517","Emploi Blanc","","","","","SYNONYME","","L1501","N"
"12600","Chef régulateur / Cheffe régulatrice du réseau ferroviaire","Chef régulateur / Cheffe régulatrice du réseau ferroviaire","N4401","Emploi stratégique pour la Transition écologique","","","","","SYNONYME","","N4401","N"
"12601","Chef saucier / Cheffe saucière","Chef saucier / Cheffe saucière","G1609","Emploi Blanc","","","","","SYNONYME","","G1602","N"
"12602","Chef sommelier / Cheffe sommelière","Chef sommelier / Cheffe sommelière","G1806","Emploi Blanc","","","","","PRINCIPALE","","G1804","N"
"12603","Chef soudeur / Cheffe soudeuse","Chef soudeur / Cheffe soudeuse","H2915","Emploi Blanc","","","","","PRINCIPALE","","H2913","N"
"12604","Chef / Cheffe viabilité sécurité","Chef / Cheffe viabilité sécurité","I1105","Emploi Blanc","","","","O","SYNONYME","","I1101","N"
"12605","Chercheur / Chercheuse en archéologie","Chercheur / Chercheuse en archéologie","K2125","Emploi Blanc","","","","O","SYNONYME","","K2401","N"
"12606","Chercheur / Chercheuse en démographie","Chercheur / Chercheuse en démographie","K2401","Emploi Blanc","","","","","SYNONYME","","K2401","N"
"12607","Chercheur / Chercheuse en économie","Chercheur / Chercheuse en économie","K2401","Emploi Blanc","","","","","SYNONYME","","K2401","N"
"12608","Chercheur / Chercheuse en ethnologie","Chercheur / Chercheuse en ethnologie","K2401","Emploi Blanc","","","","","SYNONYME","","K2401","N"
"12609","Chercheur / Chercheuse en géographie","Chercheur / Chercheuse en géographie","K2401","Emploi Blanc","","","","","SYNONYME","","K2401","N"
"12610","Chercheur / Chercheuse en histoire","Chercheur / Chercheuse en histoire","K2401","Emploi Blanc","","","","","SYNONYME","","K2401","N"
"12611","Chercheur / Chercheuse en linguistique","Chercheur / Chercheuse en linguistique","K2401","Emploi Blanc","","","","","SYNONYME","","K2401","N"
"12612","Chercheur / Chercheuse en psychologie","Chercheur / Chercheuse en psychologie","K2401","Emploi Blanc","","","","","SYNONYME","","K2401","N"
"12613","Chercheur / Chercheuse en sciences humaines","Chercheur / Chercheuse en sciences humaines","K2401","Emploi Blanc","","","","","SYNONYME","","K2401","N"
"12614","Chercheur / Chercheuse en sciences humaines et sociales","Chercheur / Chercheuse en sciences humaines et sociales","K2401","Emploi Blanc","","","","","PRINCIPALE","","K2401","N"
